Inspection ID,FEI Number,Legal Name,City Name,Country Name,Country Code,Street Address Line 1,Inspection End Date,Classification Code,Product Type,Center,Project Area,Posted Citations
913677,3005280525,Sri Krishna Pharmaceuticals Limited,Hyderabad,India,IN,"Unit Ii, Plot No:A-34,A-35, Ida Nacharam, Uppal (M), Medchal-Malkajgiri District",12/04/2014,OAI,Drugs,CDER,Drug Quality Assurance,No
1206168,3005280525,Sri Krishna Pharmaceuticals Limited,Hyderabad,India,IN,"Unit Ii, Plot No:A-34,A-35, Ida Nacharam, Uppal (M), Medchal-Malkajgiri District",05/19/2023,OAI,Drugs,CDER,Drug Quality Assurance,Yes
1273929,3005280525,Sri Krishna Pharmaceuticals Limited,Hyderabad,India,IN,"Unit Ii, Plot No:A-34,A-35, Ida Nacharam, Uppal (M), Medchal-Malkajgiri District",06/27/2025,OAI,Drugs,CDER,Drug Quality Assurance,Yes
825671,3005289335,Wockhardt Limited,Aurangabad,India,IN,"H - 14/2 Midc Area, Waluj",03/22/2013,OAI,Drugs,CDER,Drug Quality Assurance,No
932595,3005289335,Wockhardt Limited,Aurangabad,India,IN,"H - 14/2 Midc Area, Waluj",05/26/2015,OAI,Drugs,CDER,Drug Quality Assurance,No
604345,3005333852,"Kunshan Oriental Pharmaceutical Co., Ltd.",Suzhou,China,CN,"No. 58 Kuntai Road, Kunshan",07/28/2009,OAI,Drugs,CDER,Drug Quality Assurance,No
925955,3005333884,Suchem Laboratories,Ahmedabad,India,IN,"Plot No. 10/13, Phase-I, Gidc, Vatva",04/20/2015,OAI,Drugs,CDER,Drug Quality Assurance,No
1101210,3005339091,Windlas Healthcare Private Limited,Dehradun,India,IN,Plot No 183 & 192 Mohabewala Industrial,08/30/2019,OAI,Drugs,CDER,Drug Quality Assurance,No
855547,3005409363,Sun Pharmaceutical Industries Limited - Karkhadi,Padra,India,IN,"A Plot No 817, Village Karkhadi",11/16/2013,OAI,Drugs,CDER,Drug Quality Assurance,Yes
921492,3005447965,Dr. Reddy's Laboratories Limited,Nalgonda,India,IN,"Chaitnya Nagar, Miryalguda, Nalgond, Tripuraram Mandal; Road No 3",01/31/2015,OAI,Drugs,CDER,Drug Quality Assurance,No
868946,3005466325,Apotex Pharmachem India Pvt Ltd.,Bangalore,India,IN,"Plot 1a Bommasandra Industrial Area 4th Phase, Jigani Link Road, Bommasandra Ind. Estate",01/31/2014,OAI,Drugs,CDER,Drug Quality Assurance,No
1208304,3005508230,Astral SteriTech Private Ltd.,Vadodara,India,IN,911 G I D C Makarpura,06/20/2023,OAI,Drugs,CDER,Drug Quality Assurance,No
1250004,3005543486,"Huangshi Hygienic Material Medicine Co., Ltd.",Huang Shi,China,CN,"386 Shenxia Road, Tuanchengshan District",08/30/2024,OAI,Drugs,CDER,Drug Quality Assurance,No
1149609,3005564386,Indiana Chem-Port,Vadodara,India,IN,349 Gidc Estate,08/07/2021,OAI,Drugs,CDER,Drug Quality Assurance,No
1002329,3005587213,Changzhou Jintan Qianyao Pharmaceutical Raw Materials,Jintan,China,CN,"No. 678 Zhuangcheng, Chengzhou",02/17/2017,OAI,Drugs,CDER,Drug Quality Assurance,No
986244,3005587313,Mylan Laboratories Limited,Nashik,India,IN,"(FDF-1), F-4 and F-12, Malegaon MIDC, Sinnar, Nasik District",09/14/2016,OAI,Drugs,CDER,Drug Quality Assurance,Yes
966094,3005597807,"Jiangxi Yuneng Pharmaceutical Co., Ltd.",Jian,China,CN,Jinggangshan Economic & Technology Development Zone,03/21/2016,OAI,Drugs,CDER,Drug Quality Assurance,No
1087127,3005619485,"Jiangsu NHWA Pharmaceutical Co., Ltd.",Xuzhou,China,CN,"Industrial Park, No. 6 Tianyong Road; Jiawang District",04/05/2019,OAI,Drugs,CDER,Drug Quality Assurance,No
940034,3005652193,OneSource Specialty Pharma Limited,Bengaluru,India,IN,"Beta Lactam Division, Doresanipalya, 152/6 & 154/16, Bannerghatta Road",09/01/2015,OAI,Drugs,CDER,Drug Quality Assurance,No
867352,3005656140,Ceph Lifesciences Private Limited,Mohali,India,IN,"Unit 2 Village Saidpura, DeraBassi, Dist. Mohali",01/24/2014,OAI,Drugs,CDER,Drug Quality Assurance,No
1028830,3005660579,Beijing Rimeng Biological Technology Co. Ltd.,Beijing,China,CN,"No. 6a Tielunan, Daxing",10/11/2017,OAI,Drugs,CDER,Drug Quality Assurance,No
773934,3005676766,"Taizhou Kanglin Health Protection Products Co., Ltd.",Taizhou,China,CN,"The West Of Qiliqiao, Hailing District",02/24/2012,OAI,Drugs,CDER,Drug Quality Assurance,No
929021,3005694111,Megafine Pharma (P) Limited,Nashik,India,IN,"Plot No 1 to 5, 31-35 & 48-51, 26 & K/201 Lakhmapur, Tal. Dindori",05/15/2015,OAI,Drugs,CDER,Drug Quality Assurance,No
1054711,3005694111,Megafine Pharma (P) Limited,Nashik,India,IN,"Plot No 1 to 5, 31-35 & 48-51, 26 & K/201 Lakhmapur, Tal. Dindori",05/12/2018,OAI,Drugs,CDER,Drug Quality Assurance,No
1122874,3005694111,Megafine Pharma (P) Limited,Nashik,India,IN,"Plot No 1 to 5, 31-35 & 48-51, 26 & K/201 Lakhmapur, Tal. Dindori",03/06/2020,OAI,Drugs,CDER,Drug Quality Assurance,No
1227210,3005698871,Landy International,Xia Men,China,CN,"No. 192 Tianfeng Road, Ji Mei District",12/14/2023,OAI,Drugs,CDER,Drug Quality Assurance,Yes
1030588,3005742706,"Lijiang Yinghua Biochemical and Pharmaceutical Co., Ltd.",Lijiang,China,CN,"Industrial Park, Nankou",10/20/2017,OAI,Drugs,CDER,Drug Quality Assurance,No
1172425,3005757050,Glenmark Pharmaceuticals Limited,Solan,India,IN,"Village Kishanpura, Baddi Nalagarh Road, Baddi",06/22/2022,OAI,Drugs,CDER,Drug Quality Assurance,Yes
1281036,3005890633,Intas Pharmaceuticals Ltd.,Selaqui,India,IN,Camp Road,09/16/2025,OAI,Drugs,CDER,Drug Quality Assurance,No
909724,3005977675,Ipca Laboratories Limited,Silvassa,India,IN,"Plot No. 65, 99 and 126, Danudyog Industrial Estate, Piparia",12/19/2014,OAI,Drugs,CDER,Drug Quality Assurance,No
1100388,3005977675,Ipca Laboratories Limited,Silvassa,India,IN,"Plot No. 65, 99 and 126, Danudyog Industrial Estate, Piparia",08/23/2019,OAI,Drugs,CDER,Drug Quality Assurance,Yes
